Agency Name,Employee Count,Average Compensation,Percent High Earners
DEPT OF ED PEDAGOGICAL,1315181,83597.84,50.4
DEPT OF ED PER SESSION TEACHER,1079499,4003.05,0.0
POLICE DEPARTMENT,667500,88652.65,47.0
DEPT OF ED PARA PROFESSIONALS,455550,29476.46,0.0
BOARD OF ELECTION POLL WORKERS,411733,990.00,0.0
DEPT OF ED HRLY SUPPORT STAFF,278563,18531.71,0.0
FIRE DEPARTMENT,228605,105565.07,59.9
DEPARTMENT OF EDUCATION ADMIN,198050,59124.91,23.4
DEPT OF PARKS & RECREATION,183750,27528.27,8.0
HRA/DEPT OF SOCIAL SERVICES,170177,58193.62,15.6
