Agency Name,Total OT Paid,Average OT per Employee,Employees with OT,Total Employees,Percent with OT
POLICE DEPARTMENT,8942200344.21,13396.55,549431,667500,82.3
FIRE DEPARTMENT,4935749278.09,21590.73,203755,228605,89.1
HRA/DEPT OF SOCIAL SERVICES,653489225.58,3840.06,83992,170177,49.4
DEPT OF PARKS & RECREATION,287445415.25,1564.33,110855,183750,60.3
DEPARTMENT OF EDUCATION ADMIN,269904478.81,1362.81,83025,198050,41.9
DEPT OF ED HRLY SUPPORT STAFF,18202838.71,65.35,18386,278563,6.6
DEPT OF ED PARA PROFESSIONALS,10358621.24,22.74,29582,455550,6.5
DEPT OF ED PEDAGOGICAL,71.69,0.00,2,1315181,0.0
BOARD OF ELECTION POLL WORKERS,0.00,0.00,0,411733,0.0
DEPT OF ED PER SESSION TEACHER,0.00,0.00,0,1079499,0.0
